date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-08-01T00:00:00.000Z,12.94,13.19,12.94,13.06,36400,7.0041716872,7.1394918512,7.0041716872,7.069125366,36400,0.0,1.0
2000-08-02T00:00:00.000Z,13.25,13.44,13.25,13.31,48200,7.1719686906,7.2748120152,7.1719686906,7.2044455299,48200,0.0,1.0
2000-08-03T00:00:00.000Z,13.56,13.56,13.13,13.19,108000,7.3397656939,7.3397656939,7.1070150119,7.1394918512,108000,0.0,1.0
2000-08-04T00:00:00.000Z,13.56,13.63,13.44,13.44,36500,7.3397656939,7.3776553398,7.2748120152,7.2748120152,36500,0.0,1.0
2000-08-07T00:00:00.000Z,13.81,13.94,13.69,13.81,53600,7.4750858579,7.5454523431,7.4101321792,7.4750858579,53600,0.0,1.0
2000-08-08T00:00:00.000Z,13.44,13.5,13.44,13.5,33300,7.2748120152,7.3072888545,7.2748120152,7.3072888545,33300,0.0,1.0
2000-08-09T00:00:00.000Z,13.38,13.44,13.31,13.31,37000,7.2423351758,7.2748120152,7.2044455299,7.2044455299,37000,0.0,1.0
2000-08-10T00:00:00.000Z,13.38,13.44,13.31,13.38,20600,7.2423351758,7.2748120152,7.2044455299,7.2423351758,20600,0.0,1.0
2000-08-11T00:00:00.000Z,13.38,13.44,13.19,13.19,12200,7.2423351758,7.2748120152,7.1394918512,7.1394918512,12200,0.0,1.0
2000-08-14T00:00:00.000Z,13.56,13.63,13.38,13.44,54600,7.3397656939,7.3776553398,7.2423351758,7.2748120152,54600,0.0,1.0
2000-08-15T00:00:00.000Z,13.75,13.81,13.69,13.75,71000,7.4426090185,7.4750858579,7.4101321792,7.4426090185,71000,0.0,1.0
2000-08-16T00:00:00.000Z,13.94,14.06,13.88,13.88,28400,7.5454523431,7.6104060218,7.5129755038,7.5129755038,28400,0.0,1.0
2000-08-17T00:00:00.000Z,13.94,14.0,13.75,13.88,48300,7.5454523431,7.5779291825,7.4426090185,7.5129755038,48300,0.0,1.0
2000-08-18T00:00:00.000Z,13.75,13.88,13.75,13.75,13600,7.4426090185,7.5129755038,7.4426090185,7.4426090185,13600,0.0,1.0
