date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-08-01T00:00:00.000Z,19.25,19.25,19.0,19.0,7400,9.524933028,9.524933028,9.401232599,9.401232599,7400,0.0,1.0
2000-08-02T00:00:00.000Z,19.0,19.0,19.0,19.0,100,9.401232599,9.401232599,9.401232599,9.401232599,100,0.0,1.0
2000-08-03T00:00:00.000Z,18.88,18.88,18.88,18.88,10000,9.3418563932,9.3418563932,9.3418563932,9.3418563932,10000,0.0,1.0
2000-08-04T00:00:00.000Z,19.63,19.63,19.38,19.38,700,9.71295768,9.71295768,9.589257251,9.589257251,700,0.0,1.0
2000-08-07T00:00:00.000Z,19.63,19.63,19.44,19.56,1100,9.71295768,9.71295768,9.618945354,9.6783215599,1100,0.0,1.0
2000-08-08T00:00:00.000Z,19.62,19.62,19.62,19.62,0,9.7080096628,9.7080096628,9.7080096628,9.7080096628,0,0.0,1.0
2000-08-09T00:00:00.000Z,19.62,19.62,19.62,19.62,0,9.7080096628,9.7080096628,9.7080096628,9.7080096628,0,0.0,1.0
2000-08-10T00:00:00.000Z,19.0,19.0,19.0,19.0,200,9.401232599,9.401232599,9.401232599,9.401232599,200,0.0,1.0
2000-08-11T00:00:00.000Z,19.44,19.44,19.44,19.44,600,9.618945354,9.618945354,9.618945354,9.618945354,600,0.0,1.0
2000-08-14T00:00:00.000Z,19.44,19.44,19.44,19.44,0,9.618945354,9.618945354,9.618945354,9.618945354,0,0.0,1.0
2000-08-15T00:00:00.000Z,20.0,20.25,20.0,20.25,5400,9.8960343148,10.0197347437,9.8960343148,10.0197347437,5400,0.0,1.0
2000-08-16T00:00:00.000Z,20.0,20.0,20.0,20.0,0,9.8960343148,9.8960343148,9.8960343148,9.8960343148,0,0.0,1.0
2000-08-17T00:00:00.000Z,20.31,20.31,20.31,20.31,300,10.0494228467,10.0494228467,10.0494228467,10.0494228467,300,0.0,1.0
2000-08-18T00:00:00.000Z,19.75,19.75,19.75,19.75,200,9.7723338858,9.7723338858,9.7723338858,9.7723338858,200,0.0,1.0
2000-08-21T00:00:00.000Z,19.75,19.75,19.75,19.75,300,9.7723338858,9.7723338858,9.7723338858,9.7723338858,300,0.0,1.0
2000-08-22T00:00:00.000Z,19.75,19.75,19.75,19.75,0,9.7723338858,9.7723338858,9.7723338858,9.7723338858,0,0.0,1.0
2000-08-23T00:00:00.000Z,19.75,19.75,19.75,19.75,0,9.7723338858,9.7723338858,9.7723338858,9.7723338858,0,0.0,1.0
2000-08-24T00:00:00.000Z,19.25,19.25,19.25,19.25,15000,9.7049913723,9.7049913723,9.7049913723,9.7049913723,15000,0.3639,1.0
2000-08-25T00:00:00.000Z,19.63,19.63,19.5,19.5,2200,9.8965704228,9.8965704228,9.8310302213,9.8310302213,2200,0.0,1.0
2000-08-28T00:00:00.000Z,19.69,19.75,19.69,19.75,500,9.9268197466,9.9570690703,9.9268197466,9.9570690703,500,0.0,1.0
2000-08-29T00:00:00.000Z,19.19,19.38,19.0,19.0,27300,9.6747420486,9.7705315738,9.5789525233,9.5789525233,27300,0.0,1.0
2000-08-30T00:00:00.000Z,19.19,19.19,19.19,19.19,0,9.6747420486,9.6747420486,9.6747420486,9.6747420486,0,0.0,1.0
2000-08-31T00:00:00.000Z,19.75,19.88,19.75,19.81,2600,9.9570690703,10.0226092718,9.9570690703,9.9873183941,2600,0.0,1.0
2000-09-01T00:00:00.000Z,19.75,19.75,19.75,19.75,4900,9.9570690703,9.9570690703,9.9570690703,9.9570690703,4900,0.0,1.0
2000-09-05T00:00:00.000Z,19.63,19.63,19.63,19.63,300,9.8965704228,9.8965704228,9.8965704228,9.8965704228,300,0.0,1.0
2000-09-06T00:00:00.000Z,20.25,20.25,20.13,20.19,2700,10.2091467683,10.2091467683,10.1486481208,10.1788974445,2700,0.0,1.0
2000-09-07T00:00:00.000Z,20.31,20.38,20.25,20.38,4400,10.2393960921,10.2746869698,10.2091467683,10.2746869698,4400,0.0,1.0
2000-09-08T00:00:00.000Z,19.5,20.0,19.5,20.0,1100,9.8310302213,10.0831079193,9.8310302213,10.0831079193,1100,0.0,1.0
2000-09-11T00:00:00.000Z,20.0,20.06,19.5,19.5,1400,10.0831079193,10.1133572431,9.8310302213,9.8310302213,1400,0.0,1.0
2000-09-12T00:00:00.000Z,19.69,19.69,19.69,19.69,500,9.9268197466,9.9268197466,9.9268197466,9.9268197466,500,0.0,1.0
2000-09-13T00:00:00.000Z,19.25,19.44,19.25,19.38,2100,9.7049913723,9.8007808976,9.7049913723,9.7705315738,2100,0.0,1.0
2000-09-14T00:00:00.000Z,19.0,19.0,19.0,19.0,1100,9.5789525233,9.5789525233,9.5789525233,9.5789525233,1100,0.0,1.0
2000-09-15T00:00:00.000Z,18.63,18.63,18.44,18.44,10600,9.3924150268,9.3924150268,9.2966255016,9.2966255016,10600,0.0,1.0
2000-09-18T00:00:00.000Z,18.19,18.38,18.13,18.38,1000,9.1705866526,9.2663761778,9.1403373289,9.2663761778,1000,0.0,1.0
2000-09-19T00:00:00.000Z,18.06,18.06,18.0,18.0,10500,9.1050464511,9.1050464511,9.0747971274,9.0747971274,10500,0.0,1.0
2000-09-20T00:00:00.000Z,17.69,17.69,17.63,17.63,400,8.9185089546,8.9185089546,8.8882596309,8.8882596309,400,0.0,1.0
2000-09-21T00:00:00.000Z,18.0,18.0,18.0,18.0,10000,9.0747971274,9.0747971274,9.0747971274,9.0747971274,10000,0.0,1.0
2000-09-22T00:00:00.000Z,18.06,18.06,18.06,18.06,1800,9.1050464511,9.1050464511,9.1050464511,9.1050464511,1800,0.0,1.0
2000-09-25T00:00:00.000Z,18.44,18.44,18.44,18.44,2000,9.2966255016,9.2966255016,9.2966255016,9.2966255016,2000,0.0,1.0
2000-09-26T00:00:00.000Z,18.25,18.25,17.75,17.75,10700,9.2008359764,9.2008359764,8.9487582784,8.9487582784,10700,0.0,1.0
2000-09-27T00:00:00.000Z,17.94,17.94,17.94,17.94,100,9.0445478036,9.0445478036,9.0445478036,9.0445478036,100,0.0,1.0
