date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-10-01T00:00:00.000Z,39.57,39.94,39.16,39.55,21847938,38.6879767805,39.0497294064,38.2871157626,38.6684225845,21847938,0.0,1.0
2020-10-02T00:00:00.000Z,38.97,39.57,38.76,39.11,16693909,38.1013509006,38.6879767805,37.8960318426,38.2382302726,16693909,0.0,1.0
2020-10-05T00:00:00.000Z,39.57,39.98,39.07,39.17,19579828,38.6879767805,39.0888377984,38.1991218806,38.2968928606,19579828,0.0,1.0
2020-10-06T00:00:00.000Z,38.11,40.06,38.07,39.87,26691992,37.2605204727,39.1670545824,37.2214120807,38.9812897205,26691992,0.0,1.0
2020-10-07T00:00:00.000Z,38.35,38.805,38.15,38.5,22049824,37.4951708247,37.9400287836,37.2996288647,37.6418272946,22049824,0.0,1.0
2020-10-08T00:00:00.000Z,38.97,39.17,38.48,38.73,18446618,38.1013509006,38.2968928606,37.6222730987,37.8667005486,18446618,0.0,1.0
2020-10-09T00:00:00.000Z,40.78,40.795,39.83,39.91,29936412,39.8710056383,39.8856712853,38.9421813285,39.0203981125,29936412,0.0,1.0
2020-10-12T00:00:00.000Z,40.67,41.01,40.35,40.68,14011284,39.7634575603,40.0958788923,39.4505904244,39.7732346583,14011284,0.0,1.0
2020-10-13T00:00:00.000Z,40.25,40.5,39.46,40.1,20018117,39.3528194444,39.5972468944,38.5804287025,39.2061629744,20018117,0.0,1.0
2020-10-14T00:00:00.000Z,40.96,41.34,40.52,40.76,19355245,40.0469934023,40.4185231263,39.6168010904,39.8514514423,19355245,0.0,1.0
2020-10-15T00:00:00.000Z,40.3,40.67,39.9863,40.19,18523858,39.4017049344,39.7634575603,39.0949973702,39.2941568564,18523858,0.0,1.0
2020-10-16T00:00:00.000Z,39.83,40.52,39.83,40.41,13554722,38.9421813285,39.6168010904,38.9421813285,39.5092530124,13554722,0.0,1.0
2020-10-19T00:00:00.000Z,39.16,40.33,39.14,40.32,15292636,38.2871157626,39.4310362284,38.2675615666,39.4212591304,15292636,0.0,1.0
2020-10-20T00:00:00.000Z,39.46,39.705,38.97,39.29,15671885,38.5804287025,38.8199676035,38.1013509006,38.4142180365,15671885,0.0,1.0
2020-10-21T00:00:00.000Z,39.92,40.41,39.68,39.76,18089397,39.0301752105,39.5092530124,38.7955248585,38.8737416425,18089397,0.0,1.0
2020-10-22T00:00:00.000Z,39.19,39.44,38.59,39.34,19750654,38.3164470566,38.5608745065,37.7298211766,38.4631035265,19750654,0.0,1.0
2020-10-23T00:00:00.000Z,38.82,39.17,38.465,39.15,14497696,37.9546944306,38.2968928606,37.6076074517,38.2773386646,14497696,0.0,1.0
2020-10-26T00:00:00.000Z,38.21,39.16,38.17,38.52,17881875,37.3582914527,38.2871157626,37.3191830607,37.6613814906,17881875,0.0,1.0
2020-10-27T00:00:00.000Z,38.83,38.86,38.0877,38.27,14636849,37.9644715286,37.9938028226,37.2387175442,37.4169540407,14636849,0.0,1.0
2020-10-28T00:00:00.000Z,36.52,37.88,36.34,37.72,38818917,35.7059618909,37.0356472187,35.5299741269,36.8792136508,38818917,0.0,1.0
2020-10-29T00:00:00.000Z,36.95,37.285,36.01,36.06,22331970,36.1263771049,36.4539098878,35.207329893,35.256215383,22331970,0.0,1.0
2020-10-30T00:00:00.000Z,37.49,37.57,36.4877,37.33,27663936,36.6543403968,36.7325571808,35.6743818644,36.4979068288,27663936,0.0,1.0
2020-11-02T00:00:00.000Z,38.63,38.69,37.67,38.09,27180436,37.7689295686,37.8275921566,36.8303281608,37.2409662767,27180436,0.0,1.0
2020-11-03T00:00:00.000Z,39.37,39.625,38.835,39.1,20418908,38.4924348205,38.7417508195,37.9693600776,38.2284531746,20418908,0.0,1.0
2020-11-04T00:00:00.000Z,38.47,39.53,38.4,39.42,24981312,37.6124960007,38.6488683885,37.5440563147,38.5413203105,24981312,0.0,1.0
2020-11-05T00:00:00.000Z,41.22,41.51,39.865,39.88,51803648,40.3011979503,40.5847337922,38.9764011715,38.9910668185,51803648,0.0,1.0
2020-11-06T00:00:00.000Z,41.42,41.81,40.985,41.64,21921499,40.4967399102,40.8780467322,40.0714361473,40.7118360662,21921499,0.0,1.0
2020-11-09T00:00:00.000Z,38.88,39.42,38.03,39.41,43551216,38.0133570186,38.5413203105,37.1823036887,38.5315432125,43551216,0.0,1.0
2020-11-10T00:00:00.000Z,37.56,39.06,37.52,39.03,33309875,36.7227800828,38.1893447826,36.6836716908,38.1600134886,33309875,0.0,1.0
2020-11-11T00:00:00.000Z,37.15,37.26,36.7277,37.07,22360789,36.3219190648,36.4294671428,35.9090322164,36.2437022808,22360789,0.0,1.0
2020-11-12T00:00:00.000Z,37.49,38.08,37.39,37.5,21204910,36.6543403968,37.2311891787,36.5565694168,36.6641174948,21204910,0.0,1.0
2020-11-13T00:00:00.000Z,38.01,38.35,37.825,38.34,19270905,37.1627494927,37.4951708247,36.9818731797,37.4853937267,19270905,0.0,1.0
2020-11-16T00:00:00.000Z,37.76,38.235,37.45,37.86,17150204,36.9183220428,37.3827341977,36.6152320048,37.0160930227,17150204,0.0,1.0
2020-11-17T00:00:00.000Z,36.94,37.645,36.94,37.41,20716651,36.1166000069,36.8058854158,36.1166000069,36.5761236128,20716651,0.0,1.0
2020-11-18T00:00:00.000Z,35.82,36.97,35.815,36.94,26893335,35.021565031,36.1459313009,35.016676482,36.1166000069,26893335,0.0,1.0
2020-11-19T00:00:00.000Z,35.52,35.83,35.2,35.37,25927665,34.7282520911,35.031342129,34.4153849551,34.5815956211,25927665,0.0,1.0
2020-11-20T00:00:00.000Z,35.9,36.36,35.66,35.96,25259605,35.099781815,35.5495283229,34.865131463,35.158444403,25259605,0.0,1.0
2020-11-23T00:00:00.000Z,34.36,35.57,34.34,35.53,33864184,33.5941087232,34.7771375811,33.5745545272,34.7380291891,33864184,0.0,1.0
2020-11-24T00:00:00.000Z,33.42,33.9,33.25,33.38,39461543,32.6750615114,33.1443622153,32.5088508454,32.6359531194,39461543,0.0,1.0
