date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-10-01T00:00:00.000Z,6.16,6.22,5.9801,6.03,3028542,5.3884129359,5.4408974775,5.2310467854,5.2746964291,3028542,0.0,1.0
2020-10-02T00:00:00.000Z,6.12,6.18,5.92,5.93,2311531,5.3534232415,5.4059077831,5.1784747696,5.1872221932,2311531,0.0,1.0
2020-10-05T00:00:00.000Z,6.4,6.42,6.11,6.23,2100241,5.5983511022,5.6158459494,5.3446758179,5.4496449011,2100241,0.0,1.0
2020-10-06T00:00:00.000Z,5.92,6.6,5.89,6.51,4700450,5.1784747696,5.7732995742,5.1522324988,5.6945727618,4700450,0.0,1.0
2020-10-07T00:00:00.000Z,5.95,6.0355,5.785,5.98,2889151,5.2047170403,5.2795075121,5.060384551,5.2309593111,2889151,0.0,1.0
2020-10-08T00:00:00.000Z,6.64,6.66,5.96,5.99,4953805,5.8082892686,5.8257841158,5.2134644639,5.2397067347,4953805,0.0,1.0
2020-10-09T00:00:00.000Z,6.68,6.89,6.585,6.78,3469453,5.8432789629,6.0269748585,5.7601784388,5.9307531989,3469453,0.0,1.0
2020-10-12T00:00:00.000Z,6.69,6.8,6.56,6.74,2399931,5.8520263865,5.9482480461,5.7383098798,5.8957635045,2399931,0.0,1.0
2020-10-13T00:00:00.000Z,6.92,7.09,6.62,6.71,4480189,6.0532171293,6.2019233304,5.7907944214,5.8695212337,4480189,0.0,1.0
2020-10-14T00:00:00.000Z,7.08,7.28,6.92,7.01,2858595,6.1931759068,6.3681243788,6.0532171293,6.1319439417,2858595,0.0,1.0
2020-10-15T00:00:00.000Z,6.99,7.025,6.74,6.91,3413845,6.1144490945,6.1450650771,5.8957635045,6.0444697057,3413845,0.0,1.0
2020-10-16T00:00:00.000Z,6.84,7.07,6.79,7.01,1868843,5.9832377405,6.1844284832,5.9395006225,6.1319439417,1868843,0.0,1.0
2020-10-19T00:00:00.000Z,6.73,6.95,6.7,6.87,3110361,5.8870160809,6.0794594001,5.8607738101,6.0094800113,3110361,0.0,1.0
